Stock #,Availability,Stone Country Location,Lot #,Stone Type,Shape,Carat Weight,Clarity,Measurements Length,Measurements Width,Measurements Height,Origin,Treatment Type 1,Treatment Type 2,Treatment Type 3,Treatment Note,Primary Color,Color Intensity,Color Modifiers,Color Description,Color System,Color System Description,Price per Carat,Image 1 Name,Image 2 Name,Image 3 Name,Image 4 Name,Image 5 Name,Video URL,Lab 1,Report # 1,Certificate Name 1,Primary Color Lab 1,Color Intensity Lab 1,Color Modifiers Lab 1,Lab 2,Report # 2,Certificate Name 2,Primary Color Lab 2,Color Intensity Lab 2,Color Modifiers Lab 2,Lab 3,Report # 3,Certificate Name 3,Primary Color Lab 3,Color Intensity Lab 3,Color Modifiers Lab 3,Lab 4,Report # 4,Certificate Name 4,Primary Color Lab 4,Color Intensity Lab 4,Color Modifiers Lab 4,Lab 5,Report # 5,Certificate Name 5,Primary Color Lab 5,Color Intensity Lab 5,Color Modifiers Lab 5,Published,Comment,Last Update,Show High Price,Is Separable,Matched Pair Stock Number,Number Of Stones,Lot Type
AKJ,Guaranteed Availability,Hong Kong,1137602,Emerald,Emerald Cut,1.92,Eye clean,,,,Unknown,Oiling,,,,Green,Green,,,,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,D 0.09Cts 0.47Cts 0.50Cts 0.95Cts,07/17/2026 06:32:34,False,False,,,Single
VNEM119,Guaranteed Availability,Hong Kong,1137605,Emerald,Emerald Cut,2.62,Eye clean,,,,Unknown,Oiling,,,,Green,Vivid Green,,,,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Muzo Green,07/17/2026 06:32:34,False,False,,,Single
VNRU159,Guaranteed Availability,Hong Kong,1137583,Ruby,Oval,2.65,Eye clean,8.63,8.26,4.11,Myanmar,None,,,,Red,Vivid Red,,Pigeon's Blood,,,4500.0,,,,,,,GRS,,,Vivid Red,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNEM208,Guaranteed Availability,Hong Kong,1137610,Emerald,Emerald Cut,3.86,Eye clean,10.87,9.28,5.98,Unknown,Oiling,,,,Green,Vivid Green,,,,,25000.0,,,,,,,SSEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Muzo Green,07/17/2026 06:32:34,False,False,,,Single
VNRU184,Guaranteed Availability,Hong Kong,1137585,Ruby,Oval,3.03,Eye clean,,,,Madagascar,None,,,,Red,Intense-Vivid Red,,Pigeon's Blood,,,5500.0,,,,,,,GIA,,,Intense-Vivid Red,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNSA114,Guaranteed Availability,Hong Kong,1137622,Sapphire,Oval,2.33,Eye clean,,,,Sri Lanka,Heated,,,,Blue,Royal Blue,,,,,4500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNSA161,Guaranteed Availability,Hong Kong,1137635,Sapphire,Emerald Cut,8.0,Eye clean,13.79,11.15,4.9,Thailand,None,,,,Blue,Deep Blue,,,,,5000.0,,,,,,,GRS,,,Deep Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNEM113,Guaranteed Availability,Hong Kong,1137599,Emerald,Emerald Cut,1.63,Eye clean,7.47,6.06,4.69,Unknown,Oiling,,,Minor Oiling,Green,Vivid Green,,,,Vivid Green Muzo Green,8000.0,1.63Cts Columbian Emerald Minor Vivid Green Muzo Green GRS Emerald.jpeg,,,,,,GRS,GRS2017-039375,1.63Cts Columbian Emerald Minor Vivid Green Muzo Green GRS Emerald.pdf,Vivid Green,Vivid,Muzo,,,,,,,,,,,,,,,,,,,,,,,,,True,1.63Cts Fine Columbian Emerald Minor Vivid Green Muzo Green GRS CertifiedStone Available in Hong KongFor more details Call/WhatsApp Vipul http://wa.me/85269731885,07/17/2026 06:32:34,False,False,,,Single
VNRU165A,Guaranteed Availability,Hong Kong,1137582,Ruby,Oval,2.49,Eye clean,9.4,7.01,3.94,Myanmar,None,,,,Red,Vivid Red,,Pigeon's Blood,,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mogok,07/17/2026 06:32:34,False,False,,,Single
VNSA154,Guaranteed Availability,Hong Kong,1137624,Sapphire,Emerald Cut,2.49,Eye clean,,,,Sri Lanka,Heated,,,,Blue,Deep Royal Blue,,Deep Royal Blue,,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
