Stock #,RapNet Lot #,Publish,Availability,Item Title,Description,Type,Style,Category,Condition,Shipping from,Price,Currency,Terms,MSRP,Available for Memo,No. Items in Stock,Minimum order,Free Worldwide Shipping,Delivery Time,Delivery Location,Delivery Location Price,Delivery Location Currency,Delivery Location Terms,Delivery Location MSRP,Delivery Location Time,Ring Size,Keywords,Brand,Designer,Jewelry Quality,Setting,Jewelry Weight,Metal Type,Metal Karat,Measurements,Jewelry Lab Name,Jewelry Lab Report,Gemstone Type,Gemstone Shape,Gemstone carat,Gemstone Description,Gemstone Lab,Gem Lab Report #,Gemstone Measurements,Gemstone Quantity,Gemstone Treatment,Gemstone Treatment Type,Gemstone Comment,Gemstone Synthetic,Supplier Comment,Manufacture Date,Availability comment,Image Type,Image File Name,Image Title,URL Type,URL Title,URL Link,Document Type,Document Filename,Document title
HJBRCT122,341893,yes,yes,Natural Round Brilliant Diamond Bracelet,"8.59Cts Natural Round Brilliant Diamonds
18K White Gold 9.79gms",Bracelets,Tennis,"New, Bridal, Woman's, Men's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,11000,USD,"Cash Advance, COD",12500,no,1,1,no,3,,,,,,,,"Diamond, Bracelet, Tennis bracelet, Jewellery, Handmade, Luxury, Investment",,VN Diamonds,"Investment, Luxury, Fine",,11.508,White Gold,18K,,,,Diamond,Round,8.59,,,,,44,,,,no,"8.59Cts Natural Round Brilliant Diamonds
18K White Gold 9.79gms",,,,WhatsApp Image 2025-01-22 at 13.35.13_ac1b7071.jpg,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KellettBall47.jpg,8.59Cts Round Brilliant Diamond Bracelett,,,,,,
HJBRCT141,393220,yes,yes,Color Gold & Diamond Designer Bangle in 18K,"31pcs Round Brilliant Diamonds 0.48Cts
18K 13.89gms",Bracelets,Bangle,"New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,2500,USD,"Cash Advance, COD",3000,no,1,1,no,3,,,,,,,,"Diamond, Bangle, Designer, Jewellery, Jewels, Handmade, Natural",,VN Diamonds,"Luxury, Fine, Promotional",,13.99,"Yellow Gold, Rose Gold",18K,,,,Diamond,Round,0.48,,None,,,31,,,,no,"Color Gold & Diamond Designer Bangle in 18K
31pcs Round Brilliant Diamonds 0.48Cts
18K 13.89gms",,,,WhatsApp Image 2025-01-02 at 13.34.31_fc5315aa.jpg,Color Gold & Diamond Bangle,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
AKJRNG222123,348604,yes,yes,Fine Columbian Emerald set with Tapper & Baguette Diamonds in PT900,"1pc Columbian Muzo Insignificant 2.22Cts,       
Tappered Baguette Diamonds 1.23Cts
PT900 Handmade Jewellery
",Rings,"Engagement Ring, Bridal, Vintage/Antique, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Estate, Vintage, Antique, Art Deco, Fashion Jewelry, Engagement",New,Hong Kong,22000,USD,"Cash Advance, COD",23000,no,,,no,3,,,,,,,,"Emerald, Columbian, Ring, Gems, Gemstones, Gemstone Ring, ColumbianEmerald Ring, Investment, ",,VN Diamonds,,,7.72,Platinum,Other,,,,Emerald,Emerald,2.22,,Other,,,1,,Oiled,,no,"1pc Fine Columbian Emerald Vivid Green Muzo Insignificant 2.22Cts with GRS Cert,       
Tappered Baguette Diamonds 1.23Cts
PT900 Handmade Jewellery",,,,2.22Cts Columbian Emerald Ring High Resolution.jpeg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
HJERG106,393484,yes,yes,Designer Aquamarine Earrings in 18K,"34pcs Santamaria Aquamarines 9.48Cts
18K 9.06gms",Earrings,"Drop, Hoop, Dangle","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,3500,USD,"Cash Advance, COD",4000,no,1,1,no,2,,,,,,,,"Aquamarine, Beryl, Gems, Gemstones, Jewellery, Jewels, valueformoney",,VN Diamonds,"Luxury, Fine",,10.96,"Gold, Rhodium",18K,,,,Aquamarine,Round,,,None,,,,,,,no,"Designer Aquamarine Earrings in 18K
34pcs Santamaria Aquamarines 9.48Cts
18K 9.06gms",,,,Round Aquamarine Earrings IV.jpg,Aquamarine Earrings,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round Aquamarine Earrings III.jpg,Round Aquamarie Earrings,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round Aquamarine Earrings II.jpg,,,,,,,
HJRNG141a,338061,yes,yes,1.01Cts Fancy Deep Yellow-Orange Diamond Ring,"1.01Cts Natural Fancy Deep Yellow-Orange GIA Cushion Diamond
Set with Pear Brilliant & Round Brilliant Diamonds
in 18K Handmade Setting",Rings,"Engagement Ring, Bridal, Solitaire, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,20000,USD,"Cash Advance, COD",25000,no,1,1,no,3,,,,,,,,"Diamonds, Cushion, Cushionmodified, Fancy Color, Orange, Ring, Luxury, Partywear, Redcarpet",,VN Diamonds,"Investment, Luxury, Fine",,,White Gold,18K,10.00x7.50,,,Diamond,Pear,1.01,,None,,,4,,,,no,"1.01Cts Natural Fancy Deep Yellow-Orange GIA Cushion Diamond
Set with Pear Brilliant & Round Brilliant Diamonds
in 18K Handmade Setting in Hong Kong",,,,1.01Cts Fancy Deep Yellow-Orange Ring High Resolution.jpeg,Natual Fancy Deep Yellow Orange GIA,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,1.01Cts Natural Fancy Deep Yellow-Orange I1 VG VG F GIA CU 1159559174.pdf,1.01Cts Fancy Deep Yellow Orane GIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Cushion,1.01,,GIA,1159559174,,1,,,,no,,,,,,,,,,,,
HJRNG202,392319,yes,yes,3.56Cts Natural Sapphire Vivid Blue set with Diamonds in 18K,"1pc SriLanka Oval Sapphire 3.56Cts,                 
16pcs Trillion Rosecut Diamonds 2.24Cts,
18K 4.33gms
",Rings,"Engagement Ring, Bridal, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,9500,USD,"Cash Advance, COD",10000,no,1,1,no,3,,,,,,,7,"Gems, Gemstones, Sapphire, Vivid Blue, Royal Blue, Jewellery, Jewels",,VN Diamonds,"Luxury, Fine",,5.49,White Gold,18K,,,,Diamond,Trilliant,2.24,,None,,,16,,,,no,"1pc SriLanka Oval Sapphire 3.56Cts,                 
16pcs Trillion Rosecut Diamonds 2.24Cts,
18K 4.33gms
",,,,3.56Cts SriLanka H Royal Blue.jpg,3.56Cts Sapphire Ring with Diamonds,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
